algorithm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
algorithm stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
level | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
boat check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
boat right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
link boat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
simpl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
simpl link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
simpl link algorithm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
stuff boat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
stuff level check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
boat level right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
boat heavens | linky 2
algorithmly | um 1000000
algorithm algorithmly | asdf 101010
boatloads | n 3
boat | g 5 k 3 n 5
